"SATD","Sentiment"
"// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!","negative"
"""/** * Get value from current scope or one of its captured scopes. * * FIXME: block variables are not getting primed to nil so we need to null check those * until we prime them properly. Also add assert back in. * * @param offset zero-indexed value that represents where variable lives * @param depth how many captured scopes down this variable should be set * @return the value here */""","non-negative"
"// SSS FIXME: This doesn't preserve original order of when clauses. We could consider // preserving the order (or maybe not, since we would have to sort the constants first // in any case) for outputing jump tables in certain situations. // // add body to map for emitting later","non-negative"
"// synchronized method per JRUBY-1173 (unsafe Double-Checked Locking) // FIXME: synchronization is still wrong in CP code","negative"
"// vulture thread will periodically expunge dead // entries. entries are also expunged during 'put' // operations; this is designed to cover the case where // many objects are created initially, followed by limited // put activity. // // FIXME: DISABLED (below) pending resolution of finalization issue //","non-negative"
"// zero args with block // FIXME: omit args index","non-negative"
"// TODO: Rubicon TestKernel dies without this line. A cursory glance implies we // falsely set $! to nil and this sets it back to something valid. This should // get fixed at the same time we address bug #1296484.","non-negative"
"// Enebo : Should ~frogger\\foo work (it doesnt in linux ruby)?","negative"
"// FIXME can't use static","non-negative"
"// Bug 2480365: It is very important to get the URI from the URL and not simply do // new File(url.getFile()). In the case where the path contains spaces, they get encoded as %20 in // the string returned from url.getFile(). java.io.File doesn't know how to deal with them // (i.e. replace them with spaces) and the resulting File is rendered non-existent.","non-negative"
"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.","negative"
"""/* TODO: We should have all the information that is required in the * NotationSettings object */""","non-negative"
"""/** * Parse a transition description line of the form:<pre> * """"event-signature [guard-condition] / action-expression"""". * </pre> * * A """";"""" is not interpreted as having any special meaning. <p> * * The """"event-signature"""" may be one of the 4 * formats:<ul> * <li> ChangeEvent: """"when(condition)"""" * <li> TimeEvent: """"after(duration)"""" * <li> CallEvent: """"a(parameter-list)"""". * <li> SignalEvent: any string without (). * </ul> * * Remark: The UML standard does not make a distinction between * the syntax of a CallEvent and SignalEvent: * both may have parameters between (). * For simplicity and user-friendliness, we chose for this distinction. * If a user wants parameters for a SignalEvent, * then he may add them in the properties panels, but not on the diagram. * <p> * * An alternative solution would be to create a CallEvent by default, * and when editing an existing event, do not change the type.<p> * * TODO: This function fails when the event-signature contains a """"["""" * or a """"/"""". See issue 5983 for other cases that were * a problem in the past. * * @param trans the transition object to which this string applies * @param s the string to be parsed * @return the transition object * @throws ParseException when no matching [] are found */""","non-negative"
"// TODO: This whole block can be deleted when issue 6266 is resolved","non-negative"
"""/** * Rank the nodes depending on their level (position in hierarchy) and set * their weight to achieve a proper node-sequence for the layout. Rows * exceeding the maximum row width are split, if standalone nodes are * available. * <p> * Weight the other nodes to determine their columns. * <p> * TODO: Weighting doesn't appear to be working as intended because multiple * groups of children/specializations get intermixed in name order rather * than being grouped by their parent/generalization. - tfm - 20070314 */""","negative"
"/* * Algorithm* Check for any level one nullability breaks* Look at non null components to*   recursively check next level of nullability breaks* Look at Collections contraining component to*   recursively check next level of nullability breaks*** In the previous implementation, not-null stuffs where checked* filtering by level one only updateable* or insertable columns. So setting a sub component as update=""false""* has no effect on not-null check if the main component had good checkeability* In this implementation, we keep this feature.* However, I never see any documentation mentioning that, but it's for* sure a limitation.*/","negative"
"/* Original note: Jdk under Win is throwing these to warn about lower case / upper case possible mismatch. e.g. bsh.console bsh.Console Update: Prior to 1.3 we were squeltching NoClassDefFoundErrors which was very annoying.  I cannot reproduce the original problem and this was never a valid solution.  If there are legacy VMs that have problems we can include a more specific test for them here.*/","non-negative"
"// 18 nov 2003: calling this on a drive letter on Windows causes // drive access","non-negative"
"// 2 aug 2003: OS/2 Java has a broken getCanonicalPath()","negative"
"""/** * FIXME: * * @author fdietz: No locking of folders currently implemented! * * @author frd */""","negative"
"""/** * TODO: The code implementing this method is from 2003 (see issue 2171) - * mechanically integrated by tfmorris in May 2007. Needs to be * reviewed/updated. * * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement * method for changing text of Message * @param newOwner model element which should now be listened to */""","non-negative"
"// FIXME FACTOR WITH HTTPHC4Impl, HTTPHC3Impl // Just append all the parameter values, and use that as the post body","non-negative"
"""/** * Class to display graphics for a UML SynchState in a diagram. <p> * * TODO: If the font increases, the circle should grow, too. * * @author pepargouml@yahoo.es */""","non-negative"
"// In case this is called by the AWT thread, log a message - this is most likey a bug","negative"
"// TODO : this is broke for subqueries in statements other than selects...","negative"
"// TODO : should this be an error?","non-negative"
"// TODO: figure out how this should be set. /////////////////////////////////////////////////////////////////////////////// // This was the reason for failures regarding INDEX_OP and subclass joins on // theta-join dialects","non-negative"
"// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));","negative"
"// this is the wrong test if the remote OS is OpenVMS, // but there doesn't seem to be a way to detect it.","negative"
"//TODO add tests for ReportSaveGraphics","non-negative"
"// TODO these assertions should be separate tests","non-negative"
"""/** * Tests if the list with namespaces defined in getValidNamespaceClasses * contains only valid namespaces. * * TODO: This test does not test anything, really! */""","negative"
"// TODO: Test if the generated string is correct.","non-negative"
"/** * Gets the location of an external commandline tool.* <p>* TODO: test this method* * @param toolID*            id of tool* @return location of tool*/","non-negative"
"""/* Listening only to """"remove"""" events does not work... * TODO: Check if this works now with new event pump - tfm */""","non-negative"
"// ?W | boolean | True if file1 exists and is writable by the real uid/gid // FIXME: Need to implement an writable_real_p in FileTest","non-negative"
"// TODO make an assert here","non-negative"
"// FIXME missing full tests for leap year","negative"
"// TODO: This requires that the tests be run with assertions // enabled which isn't guaranteed in all environments.","non-negative"
"//where oh where has my test case 3 gone?","negative"
"""/* TODO: Why does it fail for changing * the name of an associationend? * Why should it pass? */""","non-negative"
"/** * **FIXME** This function needs documentation** Constructor* * @param String*            Name**/","negative"
"/* TODO add javadocs */","non-negative"
"""/** * Generate the """"intno"""" of the given Message. <p> * * If the predecessor of the given message has only one successor, then * we return the string representation of the given integer. <p> * If the predecessor of the given message has more than one successor, then * this is a case of parallel execution of messages, e.g. * Message 3.1a and Message 3.1b are concurrent within activation 3.1. * Hence In this case we use a syntax like: 1a, 1b, 1c. * * This means that the first successor * in the ordered list of successors that has more than one entry * will get the postfix a, the second b, etc. * * TODO: Document exceptional behaviour. * * @param umlMessage the UML message object to generate * the sequence number for * @param umlPredecessor the immediate predecessor message (UML object) * that has the given message as successor * @param position the integer position of the given message * within its sequence * @return the generated sequence expression string, * or null if the given Message was null */""","non-negative"
"// TODO: are we intentionally eating all events? - tfm 20060203 // document!","negative"
"""/** * TODO: Document! * * @deprecated for 0.28 by tfmorris. Use * {@link #UMLActivityDiagram(String, Object, GraphModel)}. */""","negative"
"// TODO check conformancy to specification","non-negative"
"""/** * Set the owners of the associated FigNodes to be the StateVertexes which * are at either end of the Transition. * <p> * TODO: This needs documentation! Is this really needed? Why? * * @param lay diagram layer containing this fig * @param owner owning UML element * @deprecated in 0.28 by Bob Tarling - The above TODO is from Michiel. * I also don't understand the purpose of this method. The GEF framework * should be setting source/dest or persistence should manage. */""","negative"
"// TODO Can't see anything in SPEC","non-negative"
"""/** * Well-formedness rule for Package. Check that the alias for an imported * element doesn't conflict with any existing name. Section 4.14.3.3 of UML 1.4 * spec. * <p> * Other types of name conflicts in a Namespace are checked by * {@link CrNameConflict}. * <p> * TODO: MVW: If an Alias is the same as another class' name, then this critic * fires, but the explanation and wizard are wrong! */""","negative"
"// TODO: Bobs says - what is the purpose of this flag? Please document.","non-negative"
"//TO DO : delete the file if it is not a valid file.","non-negative"
"""/** * This method checks the timestamp on each file listed in the <code> * ejbFiles</code> and compares them to the timestamp on the <code>jarFile * </code>. If the <code>jarFile</code>'s timestamp is more recent than * each EJB file, <code>true</code> is returned. Otherwise, <code>false * </code> is returned. * TODO: find a way to check the manifest-file, that is found by naming convention * * @param ejbFiles Hashtable of EJB classes (and other) files that will be * added to the completed JAR file * @param jarFile JAR file which will contain all of the EJB classes (and * other) files * @return boolean indicating whether or not the <code>jarFile</code> * is up to date */""","non-negative"
"""/** * An output stream that compresses into the BZip2 format (without the file * header chars) into another stream. * <p>The compression requires large amounts of memory. Thus you * should call the {@link #close() close()} method as soon as * possible, to force <tt>CBZip2OutputStream</tt> to release the * allocated memory.</p> * * <p>You can shrink the amount of allocated memory and maybe raise * the compression speed by choosing a lower blocksize, which in turn * may cause a lower compression ratio. You can avoid unnecessary * memory allocation by avoiding using a blocksize which is bigger * than the size of the input. </p> * * <p>You can compute the memory usage for compressing by the * following formula:</p> * <pre> * <code>400k + (9 * blocksize)</code>. * </pre> * * <p>To get the memory required for decompression by {@link * CBZip2InputStream CBZip2InputStream} use</p> * <pre> * <code>65k + (5 * blocksize)</code>. * </pre> * * <table width=""""100%"""" border=""""1""""> * <colgroup> * <col width=""""33%"""" /> * <col width=""""33%"""" /> * <col width=""""33%"""" /> * </colgroup> * <tr> * <th colspan=""""3"""">Memory usage by blocksize</th> * </tr><tr> * <th align=""""right"""">Blocksize</th> * <th align=""""right"""">Compression<br>memory usage</th> * <th align=""""right"""">Decompression<br>memory usage</th> * </tr><tr> * <td align=""""right"""">100k</td> * <td align=""""right"""">1300k</td> * <td align=""""right""""> 565k</td> * </tr><tr> * <td align=""""right"""">200k</td> * <td align=""""right"""">2200k</td> * <td align=""""right"""">1065k</td> * </tr><tr> * <td align=""""right"""">300k</td> * <td align=""""right"""">3100k</td> * <td align=""""right"""">1565k</td> * </tr><tr> * <td align=""""right"""">400k</td> * <td align=""""right"""">4000k</td> * <td align=""""right"""">2065k</td> * </tr><tr> * <td align=""""right"""">500k</td> * <td align=""""right"""">4900k</td> * <td align=""""right"""">2565k</td> * </tr><tr> * <td align=""""right"""">600k</td> * <td align=""""right"""">5800k</td> * <td align=""""right"""">3065k</td> * </tr><tr> * <td align=""""right"""">700k</td> * <td align=""""right"""">6700k</td> * <td align=""""right"""">3565k</td> * </tr><tr> * <td align=""""right"""">800k</td> * <td align=""""right"""">7600k</td> * <td align=""""right"""">4065k</td> * </tr><tr> * <td align=""""right"""">900k</td> * <td align=""""right"""">8500k</td> * <td align=""""right"""">4565k</td> * </tr> * </table> * * <p>For decompression <tt>CBZip2InputStream</tt> allocates less * memory if the bzipped input is smaller than one block.</p> * * <p>Instances of this class are not threadsafe.</p> * * <p> * TODO: Update to BZip2 1.0.1 * </p> * */""","non-negative"
"// TODO support multiple signers","non-negative"
"// TODO: fetch this once as per vars above?","non-negative"
"// TODO: add and delete not currently supported // $NON-NLS-1$","non-negative"
"// TODO should this use setDone()? // TODO should this use setFirst()?","non-negative"
"// not yet handled","non-negative"
"// TODO - should check that error has been logged...","non-negative"
"// TODO: Make this final asap.","non-negative"
"""/** * Compute which critics should be active (i.e., they can be * applied by applyAllCritics) for a given Designer. <p> * * Note: I am setting global data, i.e. the * isEnabled bit in each critic, based on the needs of one designer. * I don't really support more than one Designer. * Which is why each designer * (if we would support more than one designer) * has his own Agency. * * TODO: should loop over simpler list of critics, not CompoundCritics * * @param d the designer */""","non-negative"
"// TODO: Why is this disabled always?","non-negative"
"// TODO: Why is this a special case? - tfm","non-negative"
"""/** * The constructor. * TODO: Why does this method not handle all settings? */""","negative"
"// TODO: Reuse the offender List.","non-negative"
"""/*TODO: In the next line, I should use buildGuard(), * but it doesn't show the guard on the diagram... * Why? (MVW) */""","non-negative"
"// ignored - it shouldn't have been in the project in the 1st place","non-negative"
"// TODO: add recent patterns","non-negative"
"// TODO is it possible to use more than one variable?","non-negative"
"// TODO: Add a button to force garbage collection","non-negative"
"// TODO: Only fetch names and defer fetching panels until needed","non-negative"
"""/** * The drag gesture listener is notified of drag gestures by a recognizer. * The typical response is to initiate a drag by invoking * DragSource.startDrag(). * <p> * * TODO: find a way to show a different image when multiple elements are * dragged. * * @param dragGestureEvent * the DragGestureEvent describing the gesture that has just * occurred * @see java.awt.dnd.DragGestureListener#dragGestureRecognized(java.awt.dnd.DragGestureEvent) */""","non-negative"
"// Don't know what to do otherwise","non-negative"
"""/** * A specialist Selection class for FigPartitions. * This ensures that all swimlanes are the same length (ie height). * TODO: Make sure that all swimlanes appear side by side (UML spec * states """"separated from neighboring swimlanes by vertical solid * lines on both sides"""". * TODO: Allow drag of the west and east edge to resize both the selected * Fig and the fig connected to that side. * TODO: Show NorthWest and SouthWest handle only on leftmost swimlane. * TODO: Show NorthEast and SouthEast handle only on rightmost swimlane. * @author Bob */""","non-negative"
"""/** * Stylepanel which adds a checkbox to show or hide the stereotype.<p> * TODO: i18n. * * @author mvw@tigris.org */""","non-negative"
"// TODO: A more strongly typed data structure could be used here.","non-negative"
"""/** * Utility function to localize the given string with help text, * and show it in the status bar of the ArgoUML window. * This function is used in favour of the inline call * to enable later improvements; e.g. it would be possible to * show a help-balloon. TODO: Work this out. * One matter to possibly improve: show multiple lines. * * @param s the given string to be localized and shown */""","non-negative"
"// TODO: We should assert this never happens before removing // panels should control their own listeners","non-negative"
"// TODO implement me!","negative"
"/** ** create Subject headerfield in using the senders message subject and* prepending ""Fwd:"" if not already there* * @param header*            A <code>ColumbaHeader</code> which contains the headerfields*            of the message we want reply/forward.* * FIXME (@author fdietz): we need to i18n this!* */","negative"
"// TODO finish unmarshalling of all available properties","non-negative"
"// TODO (@author fdietz): add error dialog","non-negative"
"// not needed","negative"
"// TODO: Show dialog","non-negative"
"// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //","non-negative"
"// TODO processing instructions are not sent to recordValues","non-negative"
"// TODO comments are not sent to recordValues","non-negative"
"// TODO Ignore for now.","non-negative"
"// TODO translation","non-negative"
"// TODO Binary incompatibility","non-negative"
"//TODO: check that entry.getIdentifier().equals(requestedId)","non-negative"
"// TODO: not visible to the user!","negative"
"//TODO: proxies!","non-negative"
"//TODO: can we limit stored procedures ?!","non-negative"
"//TODO: formulas ?","non-negative"
"// TODO: better error message since we actually support composites if names are explicitly listed.","negative"
"//TODO: use these in methods above","non-negative"
"//TODO: cache the persister, this shows up in yourkit","non-negative"
"//TODO: terrible implementation!","negative"
"// TODO : temporary initial step towards HHH-1907","non-negative"
"// todo : remove this once ComponentMetamodel is complete and merged","non-negative"
"//TODO: maybe call it getRowSelection() ?","non-negative"
"//TODO: include the rowids!!!!","negative"
"// if we are still not resolved, we might represent a constant. // needed to add this here because the allowance of // naked-prop-refs in the grammar collides with the // definition of literals/constants (""nondeterminism""). // TODO: cleanup the grammar so that ""processConstants"" is always just handled from here","negative"
"//TODO check there is no actual definition elemnents when a ref is defined","non-negative"
"// table=null -> an association // - fill it in later //TODO fill in the mappings for table == null","non-negative"
"""/** * An output stream that compresses into the BZip2 format (without the file * header chars) into another stream. TODO: Update to BZip2 1.0.1 * * @author <a href=""""mailto:keiron@aftexsw.com"""">Keiron Liddle</a> */""","non-negative"
"""/** * Parse the XML declaration. * <pre> * [25] XMLDecl ::= '<?xml' VersionInfo EncodingDecl? SDDecl? S? '?>' * [26] VersionInfo ::= S 'version' Eq ('""""1.0""""' | """"'1.0'"""") * [33] SDDecl ::= S 'standalone' Eq """"'"""" ('yes' | 'no') """"'"""" * | S 'standalone' Eq '""""' (""""yes"""" | """"no"""") '""""' * [78] EncodingDecl ::= S 'encoding' Eq QEncoding * </pre> * <p>([80] to [82] are also significant.) * <p>(The <code><?xml</code> and whitespace have already been read.) * <p>TODO: validate value of standalone. * @see #parseTextDecl * @see #checkEncoding */""","non-negative"
"// Need some format checking here","non-negative"
"// Need to calculate this... just fudging here for now.","non-negative"
"// TODO: Also check REG_ANCHORINDEX vs. anchor","non-negative"
"// skip header bytes // maybe should check if they're valid or not?","non-negative"
"// TODO: CLONE_SETUP here","non-negative"
"// TODO: must override in RubyModule to pick up constants","non-negative"
"// TODO: non-strict option","non-negative"
"// TODO: no need to calculate every time.","non-negative"
"// FIXME: create AttrReaderMethod, AttrWriterMethod, for faster attr access","non-negative"
"// TODO: 3 times calculate the same value below","non-negative"
"// SSS: FIXME: Somewhere here, we need to record information the type of this operand as String","non-negative"
"// XXX: Check if it's appropriate type?","non-negative"
"// FIXME: Translate this call below! // s.unwrapPassedBlock()","non-negative"
"/* FIXME: We may be intern'ing more than once.*/","non-negative"
"// filter out any Java primitive names // TODO: should check against all Java reserved names here, not just primitives","non-negative"
"// FIXME: don't use RubyIO for this","non-negative"
"// TODO: we can probably release our references to the constantFields // array and static/instance callback hashes at this point.","non-negative"
"// Do not clone cached methods // FIXME: MRI copies all methods here","non-negative"
"// TODO: check safe, taint on incoming string","non-negative"
"/* TODO: MRI is just a when node. We need this extra logic for IDE consumers (null in casenode statement should be implicit nil)*/","non-negative"
"// TODO: Formalize conversion mechanisms between Java and Ruby","non-negative"
"//FIXME: When we get JNA3 we need to properly write this to errno.","non-negative"
"/* TODO: sort the list. */","non-negative"
"// TODO // Plugin supports only the main session window","non-negative"
"// TODO: allow the user to specify ignore case or preserve case.","non-negative"
"// TODO: When message are can have some text in red (error) // and some normal then put out errors in red.","non-negative"
"// TODO: tell the user that the selected destination schema is // the same as the source schema. // monitor.showMessageDialog(...)","non-negative"
"// TODO: Need to enhance the index dialog to allow specifying storage option. For now just accept the // default for the index access method. // valuesMap.put(""indexType"", ""USING BTREE"");","non-negative"
"// TODO: Put throws clause back in // Empty method.","non-negative"
"// TODO?? ColumnDisplayDefinition should also have the Type (String, Date, // Double,Integer,Boolean)","non-negative"
"// TODO: Need to add storageOptions to the add index dialog // valuesMap.put(ST_STORAGE_OPTION_KEY, );","non-negative"
"// TODO: ask the user if they want to ""undo"" the changes that the // paste made. Alternatively show them the specific problem and // let them fix it. Then allow them to retry the operation, starting // from the point at which the previous operation failed.","non-negative"
"// TODO: put these nil guards into tree (bigger than I want to do right now)","non-negative"
"// FIXME: Should we make this work with platform's locale, // or continue hardcoding US?","non-negative"
"// FIXME: Make bodyNode non-null in parser","non-negative"
"// FIXME: Pass block down?","non-negative"
"// FIXME: draw outliers","non-negative"
"// TODO: I think we need to make sure the keys are actually cloned, // whereas the stroke instances are always immutable so they're OK","non-negative"
"// not implemented","non-negative"
"""/** * Returns a string representing the week (e.g. """"Week 9, 2002""""). * * TODO: look at internationalisation. * * @return A string representing the week. */""","non-negative"
"// FIXME: show a dialog with the error","non-negative"
"""/** * An annotation that allows an image to be placed at some location on * an {@link XYPlot}. * * TODO: implement serialization properly (image is not serializable). */""","negative"
"// todo : cache this sql...","non-negative"
"// TODO: Get Project or other necessary context from source?? // e.getSource()","non-negative"
"// TODO: allow user to request the system or no parent","non-negative"
"//if there was any text before this, add it as a fragment //TODO, this check could be modified to go if pos>prev; //seems like this current version could stick empty strings //into the list","non-negative"
"// XXX add exceptions","non-negative"
"// TODO: Allow other configuration handlers.","non-negative"
"// TODO: implement","non-negative"
"// Allow the mimetype of the file to control the content type // This is not obvious in GUI if you are not uploading any files, // but just sending the content of nameless parameters // TODO: needs a multiple file upload scenerio","non-negative"
"// TODO handle filenames","non-negative"
"// Don't allow override of Content-Length // TODO - what other headers are not allowed?","non-negative"
"// TODO support other name kinds","non-negative"
"// TODO: Allow .zargo as profile as well?","non-negative"
"// TODO: check if it's OK to just get the first zip entry // since the zip file should contain only one xmi file - thn","non-negative"
"// TODO: profile dependencies for UML2","non-negative"
"// TODO support real types","non-negative"
"// XXX: hypotheses no qualifiers (I don't know)","non-negative"
"// TODO check types!","negative"
"// TODO: validate port as numeric","non-negative"
"// TODO same zero-length checks as file above","non-negative"
"// TODO: this code should really check if a Ruby equals method is implemented or not.","non-negative"
"// TODO: Ruby unlocks the string here","non-negative"
"// if not already defined, we add a 'new' that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic","non-negative"
"// TODO: SafeStringValue here","non-negative"
"""/** * Sorts the specified destInfos array based on the order of the sourceInfos * array. Not a very efficient algorthim, but it gets the job done. * TODO: rewrite this using Collections sorting capability. * * @param sourceInfos * @param destInfos * @param sourceTableName * @param destTableName * @return a re-ordered version of the specified destInfos array * @throws MappingException if the arrays differ in length or column names. */""","mixed"
"""/** * A dialect delegate for the Axion database. * TODO: This dialect is not yet complete. Need to provide implementations wherever """"Not yet implemented"""" * appears. */""","non-negative"
"// TODO: Allow the user to specify the sequence name for dialects that don't natively support // auto-increment columns without using sequence/trigger combo.","non-negative"
"// For the Mac ScreenBarMenus to work, this must be declared before // *ANY* AWT / Swing gets initialised. Do *NOT* move it to plugin init // location because that is too late...","non-negative"
"// TODO should class implement SampleListener?","non-negative"
"// TODO: All this profile loading/handling needs to // move someplace in model subsystem probably","non-negative"
"// TODO replace repeated substr() above and below with more efficient method.","negative"
"// HACK: in order to have stdout/err act like ttys and flush always, // we set anything assigned to stdout/stderr to sync","negative"
"/* * Create a TaggedValue with a tag/type matching our source module* filename and a value of the file's last modified timestamp.** TODO: This functionality needs to be moved someplace useful if* it's needed, otherwise it can be deleted. - tfm - 20070217*/","non-negative"
"// TODO: Is this (critics embedded in comments) actually used by anyone?","non-negative"
"// // needed?","non-negative"
"// // We have to deal with assembly!!! // The programmer can be writing little 32 byte chunks for all // we know, and we must assemble complete records for writing. // REVIEW Maybe this should be in TarBuffer? Could that help to // eliminate some of the buffer copying. //","negative"
"/** * Models the designers goals in making this design. Provides useful* control information to the Agency so that only critics relevant to* the designers goals are ever executed.** TODO: Really this should be part of a domain extension* and not the kernel. I have not developed this part of Argo very* much.* * @author Jason Robbins*/","non-negative"
"// needed?","non-negative"
"// what to do here? we could start a new server...","non-negative"
"/** _x0001_ * this regular expression should cover anything from a@a.pt or a@a.com to_x0001_ * a@a.info. Permits usage of invalid top domains though._x0001_ * <p>_x0001_ * [bug] fdietz: added ""."" and ""-"" as regular characters_x0001_ * (example:mail@toplevel.mail.de)_x0001_ * <p>_x0001_ * TODO: see if we can replace the matching code with Ristretto stuff_x0001_ *_x0001_ */","non-negative"
"/** * Create an empty but initialized instance of a UML Method.** @return an initialized UML Method instance.* TODO: This needs an extra parameter to specify the model/extent where* the new element should be created.*/","non-negative"
"//kinda ugly, but needed for collections with a ""."" node mapping","mixed"
"// TODO: process warnings? Set Code and Message to success?","non-negative"
"/** * A wizard which adjust the threshold for critics. <p>** TODO: Make the treshold setting adjustable without using the wizard,* and make it persistent. * Maybe by using the ""Configure"" button on the Browse Critics dialog.** @see org.argouml.uml.cognitive.critics.AbstractCrTooMany* @author mkl* */","non-negative"
"// Unused?","non-negative"
"// clear name resolvers... don't know if this is necessary.","non-negative"
"/** * Check if a string is a valid JMeter 'expression'.* <p>* The current implementation is very basic: it just accepts any string * containing ""${"" as a valid expression. TODO: improve, but keep returning* true for ""${}"".*/","non-negative"
"// TODO: implement this properly","negative"
"// todo : remove","non-negative"
"// TODO: this assumes ranges are sorted. Is this true? - tfm","non-negative"
"// unused in parent","non-negative"
"// bingo append it. (this should normally not be done here)","negative"
"// TODO: protected methods. this is going to require a rework of some of the mechanism.","non-negative"
"// If is a classifier role, it must return the received messages. // In other cases, returns an empty list. // TODO: Must be the outgoing messages or the received ones?","non-negative"
"// TODO: In UML2.x Event has no parameters. The Event metaclass in // UML1.x corresponds to the Trigger metaclass in UML2.x (see UML // Superstructure page 456).","non-negative"
"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));","non-negative"
"/* * Constraint: This code only deals with 1 supplier per dependency!* TODO: Do we need more?* * @see org.argouml.uml.ui.AbstractActionAddModelElement#doIt(java.util.List)*/","negative"
"/* * XXX - failed to load the class properly.** should we print a warning here?*/","negative"
"// TODO: This can't depend on ProjectBrowser. Alternate below","negative"
