"SATD","Sentiment"
"""/** * Get value from current scope or one of its captured scopes. * * FIXME: block variables are not getting primed to nil so we need to null check those * until we prime them properly. Also add assert back in. * * @param offset zero-indexed value that represents where variable lives * @param depth how many captured scopes down this variable should be set * @return the value here */""","non-negative"
"// SSS FIXME: This doesn't preserve original order of when clauses. We could consider // preserving the order (or maybe not, since we would have to sort the constants first // in any case) for outputing jump tables in certain situations. // // add body to map for emitting later","non-negative"
"// synchronized method per JRUBY-1173 (unsafe Double-Checked Locking) // FIXME: synchronization is still wrong in CP code","negative"
"// vulture thread will periodically expunge dead // entries. entries are also expunged during 'put' // operations; this is designed to cover the case where // many objects are created initially, followed by limited // put activity. // // FIXME: DISABLED (below) pending resolution of finalization issue //","non-negative"
"// zero args with block // FIXME: omit args index","non-negative"
"// TODO: Rubicon TestKernel dies without this line. A cursory glance implies we // falsely set $! to nil and this sets it back to something valid. This should // get fixed at the same time we address bug #1296484.","non-negative"
"// Enebo : Should ~frogger\\foo work (it doesnt in linux ruby)?","negative"
"// FIXME can't use static","non-negative"
"// Bug 2480365: It is very important to get the URI from the URL and not simply do // new File(url.getFile()). In the case where the path contains spaces, they get encoded as %20 in // the string returned from url.getFile(). java.io.File doesn't know how to deal with them // (i.e. replace them with spaces) and the resulting File is rendered non-existent.","non-negative"
"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.","negative"
"""/* TODO: We should have all the information that is required in the * NotationSettings object */""","non-negative"
"""/** * Rank the nodes depending on their level (position in hierarchy) and set * their weight to achieve a proper node-sequence for the layout. Rows * exceeding the maximum row width are split, if standalone nodes are * available. * <p> * Weight the other nodes to determine their columns. * <p> * TODO: Weighting doesn't appear to be working as intended because multiple * groups of children/specializations get intermixed in name order rather * than being grouped by their parent/generalization. - tfm - 20070314 */""","negative"
"/* * Algorithm* Check for any level one nullability breaks* Look at non null components to*   recursively check next level of nullability breaks* Look at Collections contraining component to*   recursively check next level of nullability breaks*** In the previous implementation, not-null stuffs where checked* filtering by level one only updateable* or insertable columns. So setting a sub component as update=""false""* has no effect on not-null check if the main component had good checkeability* In this implementation, we keep this feature.* However, I never see any documentation mentioning that, but it's for* sure a limitation.*/","negative"
"/* Original note: Jdk under Win is throwing these to warn about lower case / upper case possible mismatch. e.g. bsh.console bsh.Console Update: Prior to 1.3 we were squeltching NoClassDefFoundErrors which was very annoying.  I cannot reproduce the original problem and this was never a valid solution.  If there are legacy VMs that have problems we can include a more specific test for them here.*/","non-negative"
"// 18 nov 2003: calling this on a drive letter on Windows causes // drive access","non-negative"
"// 2 aug 2003: OS/2 Java has a broken getCanonicalPath()","negative"
"""/** * FIXME: * * @author fdietz: No locking of folders currently implemented! * * @author frd */""","negative"
"// In case this is called by the AWT thread, log a message - this is most likey a bug","negative"
"// TODO : this is broke for subqueries in statements other than selects...","negative"
"// TODO : should this be an error?","non-negative"
"// TODO: figure out how this should be set. /////////////////////////////////////////////////////////////////////////////// // This was the reason for failures regarding INDEX_OP and subclass joins on // theta-join dialects","non-negative"
"// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));","negative"
"// this is the wrong test if the remote OS is OpenVMS, // but there doesn't seem to be a way to detect it.","negative"
"//TODO add tests for ReportSaveGraphics","non-negative"
"// TODO these assertions should be separate tests","non-negative"
"""/** * Tests if the list with namespaces defined in getValidNamespaceClasses * contains only valid namespaces. * * TODO: This test does not test anything, really! */""","negative"
"// FIXME missing full tests for leap year","negative"
"// TODO: This requires that the tests be run with assertions // enabled which isn't guaranteed in all environments.","non-negative"
"//where oh where has my test case 3 gone?","negative"
"""/* TODO: Why does it fail for changing * the name of an associationend? * Why should it pass? */""","non-negative"
"/** * **FIXME** This function needs documentation** Constructor* * @param String*            Name**/","negative"
"/* TODO add javadocs */","non-negative"
"""/** * Generate the """"intno"""" of the given Message. <p> * * If the predecessor of the given message has only one successor, then * we return the string representation of the given integer. <p> * If the predecessor of the given message has more than one successor, then * this is a case of parallel execution of messages, e.g. * Message 3.1a and Message 3.1b are concurrent within activation 3.1. * Hence In this case we use a syntax like: 1a, 1b, 1c. * * This means that the first successor * in the ordered list of successors that has more than one entry * will get the postfix a, the second b, etc. * * TODO: Document exceptional behaviour. * * @param umlMessage the UML message object to generate * the sequence number for * @param umlPredecessor the immediate predecessor message (UML object) * that has the given message as successor * @param position the integer position of the given message * within its sequence * @return the generated sequence expression string, * or null if the given Message was null */""","non-negative"
"// TODO: are we intentionally eating all events? - tfm 20060203 // document!","negative"
"""/** * TODO: Document! * * @deprecated for 0.28 by tfmorris. Use * {@link #UMLActivityDiagram(String, Object, GraphModel)}. */""","negative"
"// TODO check conformancy to specification","non-negative"
"""/** * Set the owners of the associated FigNodes to be the StateVertexes which * are at either end of the Transition. * <p> * TODO: This needs documentation! Is this really needed? Why? * * @param lay diagram layer containing this fig * @param owner owning UML element * @deprecated in 0.28 by Bob Tarling - The above TODO is from Michiel. * I also don't understand the purpose of this method. The GEF framework * should be setting source/dest or persistence should manage. */""","negative"
"// TODO Can't see anything in SPEC","non-negative"
"""/** * Well-formedness rule for Package. Check that the alias for an imported * element doesn't conflict with any existing name. Section 4.14.3.3 of UML 1.4 * spec. * <p> * Other types of name conflicts in a Namespace are checked by * {@link CrNameConflict}. * <p> * TODO: MVW: If an Alias is the same as another class' name, then this critic * fires, but the explanation and wizard are wrong! */""","negative"
"// TODO: Bobs says - what is the purpose of this flag? Please document.","non-negative"
"// TODO: Why is this a special case? - tfm","non-negative"
"""/** * The constructor. * TODO: Why does this method not handle all settings? */""","negative"
"// TODO implement me!","negative"
"/** ** create Subject headerfield in using the senders message subject and* prepending ""Fwd:"" if not already there* * @param header*            A <code>ColumbaHeader</code> which contains the headerfields*            of the message we want reply/forward.* * FIXME (@author fdietz): we need to i18n this!* */","negative"
"// TODO finish unmarshalling of all available properties","non-negative"
"// TODO (@author fdietz): add error dialog","non-negative"
"// not needed","negative"
"// TODO: Show dialog","non-negative"
"// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //","non-negative"
"// TODO Binary incompatibility","non-negative"
"//TODO: check that entry.getIdentifier().equals(requestedId)","non-negative"
"// TODO: not visible to the user!","negative"
"//TODO: proxies!","non-negative"
"//TODO: can we limit stored procedures ?!","non-negative"
"//TODO: formulas ?","non-negative"
"// TODO: better error message since we actually support composites if names are explicitly listed.","negative"
"//TODO: use these in methods above","non-negative"
"//TODO: cache the persister, this shows up in yourkit","non-negative"
"//TODO: terrible implementation!","negative"
"// TODO : temporary initial step towards HHH-1907","non-negative"
"// todo : remove this once ComponentMetamodel is complete and merged","non-negative"
"//TODO: maybe call it getRowSelection() ?","non-negative"
"//TODO: include the rowids!!!!","negative"
"// if we are still not resolved, we might represent a constant. // needed to add this here because the allowance of // naked-prop-refs in the grammar collides with the // definition of literals/constants (""nondeterminism""). // TODO: cleanup the grammar so that ""processConstants"" is always just handled from here","negative"
"//TODO check there is no actual definition elemnents when a ref is defined","non-negative"
"// table=null -> an association // - fill it in later //TODO fill in the mappings for table == null","non-negative"
"""/** * An annotation that allows an image to be placed at some location on * an {@link XYPlot}. * * TODO: implement serialization properly (image is not serializable). */""","negative"
"// todo : cache this sql...","non-negative"
"// TODO: Get Project or other necessary context from source?? // e.getSource()","non-negative"
"// TODO: allow user to request the system or no parent","non-negative"
"// TODO check types!","negative"
"// TODO: validate port as numeric","non-negative"
"// TODO should class implement SampleListener?","non-negative"
"// TODO: All this profile loading/handling needs to // move someplace in model subsystem probably","non-negative"
"// TODO replace repeated substr() above and below with more efficient method.","negative"
"// HACK: in order to have stdout/err act like ttys and flush always, // we set anything assigned to stdout/stderr to sync","negative"
"/* * Create a TaggedValue with a tag/type matching our source module* filename and a value of the file's last modified timestamp.** TODO: This functionality needs to be moved someplace useful if* it's needed, otherwise it can be deleted. - tfm - 20070217*/","non-negative"
"// TODO: Is this (critics embedded in comments) actually used by anyone?","non-negative"
"// // needed?","non-negative"
"// // We have to deal with assembly!!! // The programmer can be writing little 32 byte chunks for all // we know, and we must assemble complete records for writing. // REVIEW Maybe this should be in TarBuffer? Could that help to // eliminate some of the buffer copying. //","negative"
"/** * Models the designers goals in making this design. Provides useful* control information to the Agency so that only critics relevant to* the designers goals are ever executed.** TODO: Really this should be part of a domain extension* and not the kernel. I have not developed this part of Argo very* much.* * @author Jason Robbins*/","non-negative"
"// clear name resolvers... don't know if this is necessary.","non-negative"
"/** * Check if a string is a valid JMeter 'expression'.* <p>* The current implementation is very basic: it just accepts any string * containing ""${"" as a valid expression. TODO: improve, but keep returning* true for ""${}"".*/","non-negative"
"// TODO: implement this properly","negative"
"// unused in parent","non-negative"
"// bingo append it. (this should normally not be done here)","negative"
"// TODO: protected methods. this is going to require a rework of some of the mechanism.","non-negative"
"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));","non-negative"
"/* * Constraint: This code only deals with 1 supplier per dependency!* TODO: Do we need more?* * @see org.argouml.uml.ui.AbstractActionAddModelElement#doIt(java.util.List)*/","negative"
"/* * XXX - failed to load the class properly.** should we print a warning here?*/","negative"
"// TODO: This can't depend on ProjectBrowser. Alternate below","negative"
"// TODO: get SQL rendering out of here, create an AST for the join expressions. // Use the SQL generator grammar to generate the SQL text for the index expression.","non-negative"
"// TODO - should we skip processing here?","non-negative"
"/** * Sets the language of an expression.** TODO: This operation is fooling the user* in thinking that the body of the object is changed.* Instead, a new object is created.* There is no other way: a MExpression can not be altered,* once created!* So, this operation returns a newly created object instead.** @param handle The expression.* @param language The new language.* @return The newly created Object.*/","negative"
"/** * XmiWriter implementation for MDR.** This implementation is clumsy because the specified Writer interface wants* characters, while the XmiWriter wants an OutputStream dealing in bytes. We* could easily create a Writer from an OutputStream, but the reverse is not* true.** TODO: The old Writer based interface can be removed when the deprecated* ModelImplementation.getXmiWriter is removed.** @author lmaitre**/","negative"
"//this is the temporary solution for issue 1011","negative"
"// XXX could perhaps also call thread.stop()","non-negative"
"// TODO: this must be wrong...","negative"
"// TODO: callback for value would be more efficient, but unlikely to be a big cost (constants are rarely assigned)","non-negative"
"// Hack to get full modifier value","negative"
"/* * The following variables are set by StandardJMeterEngine.* This is done before start() is called, so the values will be published to the thread safely* TODO - consider passing them to the constructor, so that they can be made final* (to avoid adding lots of parameters, perhaps have a parameter wrapper object.*/","non-negative"
"// This is effectively the same as saver.toXML(Object, Writer) except we get to provide the DataHolder // Don't know why there is no method for this in the XStream class","non-negative"
"/** * Prefix identified as an implementation specific class.* TODO: This should be generalized so it doesn't have to be changed* each time a new implementation is created - tfm 20051109*/","non-negative"
"// Don't allow connections to be created from a read only // model element to any other // TODO: This should be considered a workaround. It only works // because, by default, we place newly created relationships in // the namespace of the fromElement. The correct behavior in // the presence of read-only elements really depends on the type of // connection as well as the writeability of both ends.","negative"
"// brand new collection //TODO: or an array!! we can't lock objects with arrays now??","non-negative"
"// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //","negative"
"// Parse pattern into tokens. Does anyone know if it's more efficient // to use char[] than a String.charAt()? I'm assuming so.","non-negative"
"// FIXME: There's some code duplication here with RubyObject#inspect","non-negative"
"/** * Find the Icon for a given model element.** @return The Icon or <code>null</code> if there is no Icon.* @param value The model element.** TODO: This should not use string matching on classnames to do this* since this means that we have knowledge about how the model* elements are implemented outside of the Model component.*/","non-negative"
"/////////////////////////////////////////////////////////////////////////// // USED ONLY FOR REGRESSION TESTING!!!! // // todo : obviously get rid of all this junk","negative"
"/** * Provides query splitting methods, which were originally in QueryTranslator.* <br>* TODO: This will need to be refactored at some point.** @author josh*/","negative"
"/** * Searches for a type/classifier with name s. If the type is not found, a* new type is created and added to the current namespace.* <p>* TODO: Move to Model subsystem - tfm 20070307* * @param s* the name of the type/classifier to be found* @return Classifier*/","non-negative"
"/*_x0001__x0001__x0001__x0001_ * END-KLUDGE_x0001__x0001__x0001__x0001_*/","negative"
"// TODO: the namespace of created events is currently the model. // I think this is wrong, they should be // in the namespace of the activitygraph! // vec.addAll( // Model.getModelManagementHelper().getAllModelElementsOfKind( // Model.getFacade().getNamespace(getTarget()), // Model.getMetaTypes().getEvent()));","negative"
"//TODO: used to be exprNoParens! was this needed?","negative"
"// FIXME: not very efficient","negative"
"// SSS FIXME: I added this in. Is this correct?","non-negative"
"// The call here is the result of a desperate fight // to find a place where the components in the split // had not height = 0. If someone knows a better way // please tell me I'll apreciate any advice. // gerdwagner@users.sourceforge.net","negative"
"// FIXME: No getValueFormat() method?","non-negative"
"// Some dbs (like McKoi) make -1 the default for scale. Apply the // same hack as above.","negative"
"// ugly workaround","negative"
"// hack... sticking to first interpreter that resolves this // see comments on type instance variable","negative"
"//FIXME: get the PersistentClass","non-negative"
"// worrying about proxies is perhaps a little bit of overkill here...","negative"
"/** * TODO: The reference to the method* org.argouml.uml.ui.VetoablePropertyChange#getVetoMessage(String)* was here but the class does exist anymore. Where is it?* This method is never used!** @param propertyName is the name of the property* @return a message or null if not applicable.*/","negative"
"// This is a work-around for what looks like a bug to me - it is a syntax error to qualify with the // schema the new table name, but not the old as in: // // ALTER TABLE ""public"".""tablerenametest"" RENAME TO ""public"".""tablewasrenamed"" // // The second ""public"". is apparently not (currently) a valid thing to do.","negative"
"// Get the content length, it tells us how much data to read // TODO : Maybe support chunked encoding, then we cannot rely on content length","non-negative"
"// N.B. Commons IO IOUtils has equivalent methods","non-negative"
"// TODO: These were missing, so we're not handling them elsewhere?","negative"
"// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better","negative"
"// Create our bandbuffer which is just a small slice of the image // TODO: We used a fixed height buffer now, but we could be smarter and // compute a height which would fit in some memory budget, allowing us // to use taller buffers with narrower images, minimizing the overhead // of multiple rendering passes","non-negative"
"// TODO: This can be a mess... There are any better solution?","negative"
"// TODO: Temporary stopgap for EnumerationLiteral","negative"
"//TODO: Open in message frame //TODO: Handle also message attachments from OpenInComposer action","non-negative"
"// stupidity","negative"
"// defer argument checking","non-negative"
"// FIXME: ConstDecl could be two seperate classes (or done differently since constNode and name // never exist at the same time.","non-negative"
"/** * ActionAddExistingNode enables pasting of an existing node into a Diagram.** @author Eugenio Alvarez* Data Access Technologies.* TODO: Why do we have this class as well as ActionAddExistingNodes?*/","non-negative"
"// not used","non-negative"
"// stupid scrollbar policy is an attempt to work around // bugs people have been seeing with IBM's JDK -- 7 Sep 2000","negative"
"// TODO: Reconfigure exception handling to distinguish between errors // that are possible due to bad input data and those that represent // unexpected processing errors.","non-negative"
"// TODO Probably want to allow the user to set these sequence properties ?? // Sequence settings.","non-negative"
"/* MVW: for this case, I have to move the* call to setSelectedItem() outside the ""buildingModel"", otherwise* the combo does not update with the new selection.* The same does probably apply to the cases above! */","negative"
"// TODO - should the encoding be configurable? // $NON-NLS-1$","non-negative"
"// TODO: Must we calculate the whole list?","negative"
"// XXX what is this for?","non-negative"
"// TODO: the type of the model element used in a type parameter // (ie the formal) needs to match the actual parameter that it // gets replaced with later. This code is going to restrict that // to always being a Parameter which doesn't seem right, but I // don't have time to debug it right now. - tfm - 20090608","non-negative"
"/** * This class models the designer who is building a complex design in* some application domain and needs continuous feedback to aid in the* making of good design decisions.<p>** <strong>This area needs work, especially as it is a* central idea of Argo.</strong><p>** Currently (almost) everything is hardcoded. What can be configurable??<p>** The ToDoList is dependent on this class,* i.e. each designer has its ToDoList.<p>** Each designer has his own Agency,* which is the only class that knows all the critics.<p>** This class listens to property changes from ...?<p>** A designer can create ToDo Items, just like the critics. Hence the designer* implements the Poster interface.<p>** TODO: There is a strong dependency cycle between Agency and Designer. They* either need to be merged into a single class or partitioned differently,* perhaps using an interface to break the cycle. The Designer singleton gets* passed to almost every single part of the Critic subsystem, creating strong* coupling throughout. - tfm 20070620** @author Jason Robbins*/","negative"
"// TODO: This method can be replaced by getClass().getSimpleName() // when Argo drops support for Java versions < 1.5","non-negative"
"// TODO: Should this really return null? If not, figure out something better to do here.","negative"
"// TODO: AddOnly has been removed in UML 2.x, so we should phase out // support of it - tfm - 20070529","non-negative"
"// and its stereotypes // TODO: Aren't stereotypes handled elsewhere?","non-negative"
"// No appropriate DataType for this column, so do the best // we can with what we know. // // THIS MAY NOT BE THE BEST BEHAVIOR HERE!!!!!!!","negative"
"/* * Wrapper to convert a JUnit4 class into a TestCase** TODO - work out how to convert JUnit4 assertions so they are treated as failures rather than errors*/","non-negative"
"// optional args, so we have IRubyObject[] // TODO: confirm","non-negative"
"// TODO: This code is cloned over and over again! - tfm","negative"
"// References to actions that we need for Mac hack","non-negative"
"// These may not actually make any difference at present (the code // behind addTrigger needs more work).","non-negative"
"// Windows JDK workaround","negative"
"// TODO: decompose getJavaPackageModule so we don't parse fullName","non-negative"
"//this is really irritating","negative"
"//need to do that here rather than in the save event listener to let //the post insert events to have a id-filled entity when IDENTITY is used (EJB3)","non-negative"
"// Don't allow override of Content-Length // This helps with SoapSampler hack too // TODO - what other headers are not allowed?","non-negative"
"// TODO: This first loop just to count the items appears // redundant to me - tfm 20070630","negative"
"// really there are two situations where it should be ok to allow the insertion // into properties defined on a superclass: // 1) union-subclass with an abstract root entity // 2) discrim-subclass // // #1 is handled already because of the fact that // UnionSubclassPersister alreay always returns 0 // for this call... // // we may want to disallow it for discrim-subclass just for // consistency-sake (currently does not work anyway)...","non-negative"
"// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?]","non-negative"
"// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.","negative"
"// TODO: We definitely don't want to react to addition and // removal of transitions. Can't we be more specific when // we register ourselves as a listener.","negative"
"// TODO: This should listen for new target events // fired by WizStep.updateTabToDo so that we // can decouple it from the ProjectBrowser.","non-negative"
"//ie. the subquery! yuck!","negative"
"// What is the property supposed to be?","non-negative"
"// TODO: Model implementation independent","non-negative"
"//TODO: ugly here:","negative"
"/*_x0001_Note: This class essentially just delegates most of its methods to its_x0001_parent. The setVariable() indirection is very small. We could probably_x0001_fold this functionality back into the base NameSpace as a special case._x0001_But this has changed a few times so I'd like to leave this abstraction for_x0001_now.*/","non-negative"
"// FIXME: I don't like this","negative"
"//TODO: ary_sort_check should be done here","non-negative"
"//TODO: make EntityPersister *not* depend on SessionFactoryImplementor //interface, if possible","non-negative"
"// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)","negative"
"// TODO: Do we need this one. */","non-negative"
"// something is very wrong here","negative"
"// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined","negative"
"// all the others could be private too?","non-negative"
"//TODO: should orphans really be deleted during lock???","negative"
"//TODO: this is temporary in that the end result will probably not take a Property reference per-se.","non-negative"
"/* FIXME: Resolve what the hell is going on*/","negative"
"// TODO: Using just the last piece of the ID leaves the potential for // name collisions if two linked files have the same name in different // directories","non-negative"
"// TODO : what amount of significant digits need to be supported here? // - from the DecimalFormat docs: // [significant digits] = [minimum integer digits] + [maximum fraction digits]","non-negative"
"// JASON: Do we need these?","non-negative"
"// turn of focus stealing (workaround should be removed in the // future!)","negative"
"//TODO: suck this into initLaziness!","negative"
"// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes) // TODO: not sure we need this at all, since we only expose // public fields. //field.setAccessible(true);","non-negative"
"/** * A window that displays an exception to the user if we can't handle it* in any other way.* * TODO: This has been partly converted to be a generic error dialog * rather than something specific to exceptions. This should be renamed* when that process is complete.*/","non-negative"
"/** Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they* are mutually exckusive*/","non-negative"
"// none of the others are ever meant to be // removed. retarded, eh? this needs to be // fixed eventually, for plugins might // want to do weird stuff to jEdit's UI","negative"
"/** TODO: Spring-inject when this class is a Spring bean */","non-negative"
"//TODO: bad implementation, cos it depends upon ordering of mapping doc // fixing this requires that Collection/PersistentClass gain access // to the Mappings reference from Configuration (or the filterDefinitions // map directly) sometime during Configuration.buildSessionFactory // (after all the types/filter-defs are known and before building // persisters).","negative"
"// TODO - yet another ambiguous name - does it need changing? // See also: Clearable, JMeterGUIComponent","negative"
"// this is retarded. excuse me while I drool // and make stupid noises","negative"
"//TODO: split into an inherited attr critic and a local //attr critic","non-negative"
"// TODO: Bob says - tabs that listen for target changes // should register themselves not expect DetailsPane to // listen and pass on the event. Otherwise these tabs // always rely on DetailsPane. TabToDoTarget and TabProps // currently listen directly.","non-negative"
"/* Silly bug workaround #8694. If you look at the above code,_x0001__x0001_ * note that we restore the saved caret position first, then_x0001__x0001_ * scroll to the saved location. However, the caret changing_x0001__x0001_ * can itself result in scrolling to a different location than_x0001__x0001_ * what was saved; and since moveCaretPosition() calls_x0001__x0001_ * updateBracketHighlight(), the bracket highlight's out of_x0001__x0001_ * bounds calculation will rely on a different set of physical_x0001__x0001_ * first/last lines than what we will end up with eventually._x0001__x0001_ * Instead of confusing the user with status messages that_x0001__x0001_ * appear at random when switching buffers, we simply hide the_x0001__x0001_ * message altogether. */","negative"
"/**_x0001_ * TODO: mvw: Would it not be better if this code_x0001_ * would go in startTextEditor(), not overruling mouseClicked()._x0001_ * But we made this fig not editable,_x0001_ * to stop it from reacting on key-presses._x0001_ * Anyhow - this is a hack - abusing a FigText - GEF does_x0001_ * not really support double-clicking on a Fig to trigger some action._x0001_*/","negative"
"// todo : potentially look at optimizing these two arrays","non-negative"
"//TODO: is this really necessary????","negative"
"// Yow...this is still ugly","negative"
"// null or brand new collection // this will also (inefficiently) handle arrays, which have // no snapshot, so we can't do any better","negative"
"/** * @see org.argouml.cognitive.Critic#setHeadline(java.lang.String)** Set up the locale specific text for the critic headline* (the one liner that appears in the to-do pane)* and the critic description (the detailed explanation that* appears in the to-do tab of the details pane).** MVW: Maybe we can make it part of the constructor CrUML()?** FIXME: why override if nobody uses?*/","negative"
"// // @author: fdietz // using shutdown-manager is wrong here, because this // automatically also calls the FrameManager, which // also starts a second shutdown thread // -> This leads into two parallel shutdown thread which // -> is why sometimes config-files, etc. get messed up //","negative"
"// This is a kludge to deal with enumerators, which crash the doSwitch. //","negative"
"// TODO: Do we want to <<friend>> stereotypes too? // || Model.getExtensionMechanismsHelper().hasStereotype( // permission, ModelManagementHelper.FRIEND_STEREOTYPE)","non-negative"
"// I guess this can happen as a result of a bad // file read? In this case, it would be better to replace the // incorrect value with anything valid, e.g. the default value // for the property. // But for the time being, I just prefer to be aware of any // problems occuring here, most likely programming errors, // so I'll bail out. // (MS Note) Can't bail out - newly create elements have blank // values and must get the defaults. // Also, when loading previous versions of jmeter test scripts, // some values // may not be right, and should get default values - MS // TODO: review this and possibly change to:","negative"
"//TODO: implement caching?! proxies?!","non-negative"
"/** * Updates a compartment box. Called from updateLayout if there is* a model event effecting the attributes/operations and from* renderingChanged in all cases.* TODO: The above statement means that the entire contents of the* compartments are being rebuilt whenever an add/remove* of an attribute, operation or a reception is detected. It would be* better to have compartments listen for add and remove events* and make minimum change rather than entirely rebuild. * Remark MVW: This is a bit exaggerated, since the populate() * method is already heavily optimized.*/","negative"
"// Only do verification if debug level logging is on // TODO: Should we leave this on always? - tfm","non-negative"
"/* If the jarfile already exists then whack it and recreate it.* Should probably think of a more elegant way to handle this* so that in case of errors we don't leave people worse off* than when we started =)*/","negative"
"// ruby constants for strings (should this be moved somewhere else?)","non-negative"
"// hack/workaround as sqlquery impl depend on having a key.","negative"
"//TODO: Return content encoding according to the mime part in the mail","non-negative"
"/** * A command to set selected figs to their minimum size. <p>* Despite its name, really the minimum size is selected here! <p>* * TODO: Rename this class.** @author Markus Klink*/","non-negative"
"/* workaround for hang if match was_x0001__x0001__x0001__x0001__x0001_ * zero-width. not sure if there is_x0001__x0001__x0001__x0001__x0001_ * a better way to handle this */","negative"
"//TODO: this is too conservative; if all preceding joins were // also inner joins, we could use an inner join here","non-negative"
"// fucking GTK look and feel","negative"
"// TODO not read, yet in a public setter","non-negative"
"// TODO - should we call start() and stop()?","non-negative"
"// FIXME: If NativeException is expected to be used from Ruby code, it should provide // a real allocator to be used. Otherwise Class.new will fail, as will marshalling. JRUBY-415","negative"
"//?? Split these 4 functions off into a subclass of BaseFavouriteAction","non-negative"
"// TODO improve the error handling","non-negative"
